,date,store_nbr,item_nbr,units,date1j
5364,2012-01-02,5,37,29,1
5447,2012-01-02,6,9,147,1
5452,2012-01-02,6,14,1,1
5483,2012-01-02,6,45,85,1
5554,2012-01-02,7,5,166,1
5556,2012-01-02,7,7,1,1
5572,2012-01-02,7,23,22,1
5642,2012-01-02,7,93,2,1
5665,2012-01-02,8,5,73,1
5683,2012-01-02,8,23,15,1
5719,2012-01-02,8,59,1,1
5776,2012-01-02,9,5,67,1
5781,2012-01-02,9,10,2,1
5816,2012-01-02,9,45,127,1
5887,2012-01-02,10,5,84,1
5903,2012-01-02,10,21,3,1
5919,2012-01-02,10,37,33,1
6002,2012-01-02,11,9,49,1
6061,2012-01-02,11,68,71,1
6120,2012-01-02,12,16,53,1
6141,2012-01-02,12,37,41,1
6220,2012-01-02,13,5,99,1
6251,2012-01-02,13,36,120,1
6261,2012-01-02,13,46,3,1
6335,2012-01-02,14,9,50,1
6376,2012-01-02,14,50,4,1
6442,2012-01-02,15,5,265,1
6454,2012-01-02,15,17,5,1
6482,2012-01-02,15,45,160,1
6564,2012-01-02,16,16,42,1
6573,2012-01-02,16,25,102,1
6587,2012-01-02,16,39,1,1
6598,2012-01-02,16,50,4,1
6668,2012-01-02,17,9,254,1
6696,2012-01-02,17,37,68,1
6707,2012-01-02,17,48,123,1
6730,2012-01-02,17,71,4,1
6775,2012-01-02,18,5,40,1
6807,2012-01-02,18,37,16,1
6897,2012-01-02,19,16,30,1
6920,2012-01-02,19,39,1,1
6950,2012-01-02,19,69,4,1
6964,2012-01-02,19,83,11,1
6974,2012-01-02,19,93,2,1
6997,2012-01-02,20,5,143,1
7033,2012-01-02,20,41,51,1
7066,2012-01-02,20,74,4,1
7108,2012-01-02,21,5,137,1
7147,2012-01-02,21,44,60,1
7223,2012-01-02,22,9,112,1
7282,2012-01-02,22,68,57,1
7330,2012-01-02,23,5,47,1
7354,2012-01-02,23,29,2,1
7370,2012-01-02,23,45,43,1
7442,2012-01-02,24,6,148,1
7479,2012-01-02,24,43,92,1
7496,2012-01-02,24,60,3,1
7556,2012-01-02,25,9,170,1
7559,2012-01-02,25,12,1,1
7592,2012-01-02,25,45,133,1
7628,2012-01-02,25,81,13,1
7663,2012-01-02,26,5,46,1
7703,2012-01-02,26,45,56,1
7778,2012-01-02,27,9,53,1
7790,2012-01-02,27,21,2,1
7837,2012-01-02,27,68,41,1
7885,2012-01-02,28,5,69,1
7925,2012-01-02,28,45,95,1
7999,2012-01-02,29,8,24,1
8032,2012-01-02,29,41,13,1
8036,2012-01-02,29,45,110,1
8118,2012-01-02,30,16,76,1
8146,2012-01-02,30,44,277,1
8151,2012-01-02,30,49,2,1
8153,2012-01-02,30,51,2,1
8222,2012-01-02,31,9,29,1
8258,2012-01-02,31,45,70,1
8333,2012-01-02,32,9,115,1
8369,2012-01-02,32,45,72,1
8382,2012-01-02,32,58,1,1
8417,2012-01-02,32,93,2,1
8444,2012-01-02,33,9,195,1
8479,2012-01-02,33,44,50,1
8555,2012-01-02,34,9,88,1
8591,2012-01-02,34,45,134,1
8598,2012-01-02,34,52,3,1
8666,2012-01-02,36,9,34,1
8687,2012-01-02,36,30,1,1
8701,2012-01-02,36,44,115,1
8773,2012-01-02,37,5,102,1
8813,2012-01-02,37,45,84,1
8821,2012-01-02,37,53,3,1
8888,2012-01-02,38,9,145,1
8924,2012-01-02,38,45,137,1
8999,2012-01-02,39,9,13,1
9026,2012-01-02,39,36,13,1
9106,2012-01-02,40,5,183,1
9146,2012-01-02,40,45,116,1
9228,2012-01-02,41,16,57,1
9280,2012-01-02,41,68,150,1
9328,2012-01-02,42,5,61,1
9368,2012-01-02,42,45,89,1
9405,2012-01-02,42,82,2,1
9450,2012-01-02,43,16,92,1
9471,2012-01-02,43,37,41,1
9507,2012-01-02,43,73,2,1
9550,2012-01-02,44,5,95,1
9613,2012-01-02,44,68,93,1
9665,2012-01-02,45,9,51,1
9706,2012-01-02,45,50,2,1
9776,2012-01-03,1,9,15,2
9795,2012-01-03,1,28,9,2
9883,2012-01-03,2,5,104,2
9922,2012-01-03,2,44,109,2
9994,2012-01-03,3,5,61,2
10034,2012-01-03,3,45,75,2
10109,2012-01-03,4,9,29,2
10127,2012-01-03,4,27,5,2
10190,2012-01-03,4,90,1,2
10227,2012-01-03,5,16,33,2
10231,2012-01-03,5,20,3,2
10248,2012-01-03,5,37,18,2
10331,2012-01-03,6,9,59,2
10367,2012-01-03,6,45,26,2
10438,2012-01-03,7,5,164,2
10440,2012-01-03,7,7,3,2
10456,2012-01-03,7,23,23,2
10549,2012-01-03,8,5,87,2
10567,2012-01-03,8,23,5,2
10660,2012-01-03,9,5,158,2
10665,2012-01-03,9,10,2,2
10700,2012-01-03,9,45,70,2
10771,2012-01-03,10,5,162,2
10787,2012-01-03,10,21,3,2
10803,2012-01-03,10,37,26,2
10886,2012-01-03,11,9,42,2
10945,2012-01-03,11,68,52,2
11004,2012-01-03,12,16,36,2
11025,2012-01-03,12,37,25,2
11104,2012-01-03,13,5,196,2
11135,2012-01-03,13,36,87,2
11145,2012-01-03,13,46,10,2
11219,2012-01-03,14,9,15,2
11235,2012-01-03,14,25,18,2
11260,2012-01-03,14,50,1,2
11280,2012-01-03,14,70,1,2
11303,2012-01-03,14,93,3,2
11326,2012-01-03,15,5,174,2
11338,2012-01-03,15,17,1,2
11366,2012-01-03,15,45,128,2
11370,2012-01-03,15,49,1,2
11448,2012-01-03,16,16,20,2
11457,2012-01-03,16,25,155,2
11471,2012-01-03,16,39,1,2
11482,2012-01-03,16,50,1,2
11552,2012-01-03,17,9,149,2
11580,2012-01-03,17,37,97,2
11591,2012-01-03,17,48,223,2
11614,2012-01-03,17,71,1,2
11659,2012-01-03,18,5,12,2
11691,2012-01-03,18,37,8,2
11781,2012-01-03,19,16,35,2
11848,2012-01-03,19,83,8,2
11881,2012-01-03,20,5,117,2
11917,2012-01-03,20,41,30,2
11950,2012-01-03,20,74,6,2
11992,2012-01-03,21,5,50,2
12031,2012-01-03,21,44,72,2
12107,2012-01-03,22,9,69,2
12166,2012-01-03,22,68,65,2
12214,2012-01-03,23,5,46,2
12238,2012-01-03,23,29,1,2
12254,2012-01-03,23,45,39,2
12326,2012-01-03,24,6,105,2
12363,2012-01-03,24,43,92,2
12380,2012-01-03,24,60,1,2
12440,2012-01-03,25,9,95,2
12476,2012-01-03,25,45,119,2
12512,2012-01-03,25,81,14,2
12547,2012-01-03,26,5,94,2
12587,2012-01-03,26,45,71,2
12662,2012-01-03,27,9,36,2
12674,2012-01-03,27,21,1,2
12721,2012-01-03,27,68,57,2
12733,2012-01-03,27,80,5,2
12769,2012-01-03,28,5,113,2
12809,2012-01-03,28,45,29,2
12883,2012-01-03,29,8,53,2
12916,2012-01-03,29,41,16,2
12920,2012-01-03,29,45,92,2
13002,2012-01-03,30,16,63,2
13030,2012-01-03,30,44,292,2
13106,2012-01-03,31,9,42,2
13142,2012-01-03,31,45,71,2
13217,2012-01-03,32,9,69,2
13253,2012-01-03,32,45,46,2
13266,2012-01-03,32,58,3,2
13328,2012-01-03,33,9,182,2
13363,2012-01-03,33,44,178,2
13411,2012-01-03,33,92,1,2
13439,2012-01-03,34,9,36,2
13461,2012-01-03,34,31,1,2
13475,2012-01-03,34,45,104,2
13482,2012-01-03,34,52,3,2
13550,2012-01-03,36,9,49,2
13571,2012-01-03,36,30,1,2
13585,2012-01-03,36,44,127,2
13657,2012-01-03,37,5,86,2
13697,2012-01-03,37,45,68,2
13705,2012-01-03,37,53,1,2
13772,2012-01-03,38,9,118,2
13808,2012-01-03,38,45,79,2
13815,2012-01-03,38,52,6,2
13883,2012-01-03,39,9,2,2
13910,2012-01-03,39,36,13,2
13990,2012-01-03,40,5,58,2
14030,2012-01-03,40,45,67,2
14112,2012-01-03,41,16,51,2
14164,2012-01-03,41,68,122,2
14212,2012-01-03,42,5,72,2
14252,2012-01-03,42,45,81,2
14289,2012-01-03,42,82,1,2
14334,2012-01-03,43,16,89,2
14355,2012-01-03,43,37,30,2
14434,2012-01-03,44,5,40,2
14497,2012-01-03,44,68,97,2
14549,2012-01-03,45,9,18,2
14660,2012-01-04,1,9,20,3
14679,2012-01-04,1,28,3,3
14767,2012-01-04,2,5,58,3
14773,2012-01-04,2,11,2,3
14806,2012-01-04,2,44,148,3
14878,2012-01-04,3,5,106,3
14918,2012-01-04,3,45,71,3
14993,2012-01-04,4,9,80,3
15011,2012-01-04,4,27,8,3
15074,2012-01-04,4,90,1,3
15111,2012-01-04,5,16,20,3
15127,2012-01-04,5,32,2,3
15132,2012-01-04,5,37,16,3
15215,2012-01-04,6,9,54,3
15220,2012-01-04,6,14,7,3
15251,2012-01-04,6,45,51,3
15322,2012-01-04,7,5,124,3
15340,2012-01-04,7,23,19,3
15410,2012-01-04,7,93,3,3
15433,2012-01-04,8,5,45,3
15451,2012-01-04,8,23,4,3
15487,2012-01-04,8,59,1,3
15544,2012-01-04,9,5,69,3
15584,2012-01-04,9,45,70,3
15632,2012-01-04,9,93,1,3
15655,2012-01-04,10,5,57,3
15671,2012-01-04,10,21,1,3
15687,2012-01-04,10,37,25,3
15770,2012-01-04,11,9,60,3
15829,2012-01-04,11,68,49,3
15888,2012-01-04,12,16,30,3
15909,2012-01-04,12,37,32,3
15951,2012-01-04,12,79,2,3
15988,2012-01-04,13,5,114,3
16019,2012-01-04,13,36,115,3
16029,2012-01-04,13,46,1,3
16103,2012-01-04,14,9,9,3
16119,2012-01-04,14,25,17,3
16144,2012-01-04,14,50,2,3
16210,2012-01-04,15,5,212,3
16222,2012-01-04,15,17,1,3
16250,2012-01-04,15,45,100,3
16332,2012-01-04,16,16,24,3
16341,2012-01-04,16,25,174,3
16436,2012-01-04,17,9,201,3
16464,2012-01-04,17,37,51,3
16475,2012-01-04,17,48,148,3
16543,2012-01-04,18,5,22,3
16575,2012-01-04,18,37,17,3
16665,2012-01-04,19,16,27,3
16718,2012-01-04,19,69,1,3
16732,2012-01-04,19,83,4,3
16765,2012-01-04,20,5,96,3
16778,2012-01-04,20,18,1,3
16801,2012-01-04,20,41,24,3
16834,2012-01-04,20,74,3,3
16876,2012-01-04,21,5,38,3
16915,2012-01-04,21,44,46,3
16991,2012-01-04,22,9,60,3
17050,2012-01-04,22,68,59,3
17098,2012-01-04,23,5,69,3
17138,2012-01-04,23,45,17,3
17210,2012-01-04,24,6,107,3
17247,2012-01-04,24,43,70,3
17324,2012-01-04,25,9,141,3
17327,2012-01-04,25,12,1,3
17360,2012-01-04,25,45,121,3
17396,2012-01-04,25,81,15,3
17431,2012-01-04,26,5,43,3
17471,2012-01-04,26,45,45,3
17546,2012-01-04,27,9,41,3
17605,2012-01-04,27,68,33,3
17630,2012-01-04,27,93,10,3
17653,2012-01-04,28,5,64,3
17693,2012-01-04,28,45,48,3
17767,2012-01-04,29,8,31,3
17800,2012-01-04,29,41,10,3
17804,2012-01-04,29,45,87,3
17815,2012-01-04,29,56,3,3
17886,2012-01-04,30,16,41,3
17914,2012-01-04,30,44,189,3
17921,2012-01-04,30,51,1,3
17990,2012-01-04,31,9,29,3
18026,2012-01-04,31,45,64,3
18101,2012-01-04,32,9,54,3
18111,2012-01-04,32,19,1,3
18137,2012-01-04,32,45,50,3
18150,2012-01-04,32,58,2,3
18212,2012-01-04,33,9,70,3
18247,2012-01-04,33,44,185,3
18323,2012-01-04,34,9,58,3
18359,2012-01-04,34,45,104,3
18366,2012-01-04,34,52,2,3
18434,2012-01-04,36,9,8,3
18455,2012-01-04,36,30,1,3
18469,2012-01-04,36,44,83,3
18541,2012-01-04,37,5,53,3
18581,2012-01-04,37,45,50,3
18589,2012-01-04,37,53,2,3
18656,2012-01-04,38,9,56,3
18692,2012-01-04,38,45,65,3
18699,2012-01-04,38,52,1,3
18767,2012-01-04,39,9,15,3
18794,2012-01-04,39,36,11,3
18874,2012-01-04,40,5,81,3
18914,2012-01-04,40,45,54,3
18996,2012-01-04,41,16,41,3
19048,2012-01-04,41,68,55,3
19096,2012-01-04,42,5,15,3
19136,2012-01-04,42,45,69,3
19173,2012-01-04,42,82,2,3
19218,2012-01-04,43,16,72,3
19239,2012-01-04,43,37,19,3
19318,2012-01-04,44,5,53,3
19375,2012-01-04,44,62,1,3
19381,2012-01-04,44,68,64,3
19433,2012-01-04,45,9,29,3
19544,2012-01-05,1,9,16,4
19563,2012-01-05,1,28,1,4
19651,2012-01-05,2,5,138,4
19657,2012-01-05,2,11,3,4
19690,2012-01-05,2,44,157,4
19762,2012-01-05,3,5,75,4
19802,2012-01-05,3,45,111,4
19877,2012-01-05,4,9,128,4
19895,2012-01-05,4,27,6,4
19995,2012-01-05,5,16,38,4
20016,2012-01-05,5,37,17,4
20099,2012-01-05,6,9,88,4
20104,2012-01-05,6,14,2,4
20135,2012-01-05,6,45,49,4
20206,2012-01-05,7,5,130,4
20208,2012-01-05,7,7,1,4
20224,2012-01-05,7,23,17,4
20317,2012-01-05,8,5,61,4
20335,2012-01-05,8,23,10,4
20371,2012-01-05,8,59,1,4
20428,2012-01-05,9,5,133,4
20468,2012-01-05,9,45,75,4
20539,2012-01-05,10,5,58,4
20555,2012-01-05,10,21,1,4
20571,2012-01-05,10,37,26,4
20654,2012-01-05,11,9,49,4
20706,2012-01-05,11,61,1,4
20713,2012-01-05,11,68,59,4
20772,2012-01-05,12,16,32,4
20793,2012-01-05,12,37,27,4
20835,2012-01-05,12,79,2,4
20872,2012-01-05,13,5,186,4
20903,2012-01-05,13,36,106,4
20913,2012-01-05,13,46,3,4
20987,2012-01-05,14,9,40,4
21003,2012-01-05,14,25,13,4
21028,2012-01-05,14,50,2,4
21048,2012-01-05,14,70,2,4
21094,2012-01-05,15,5,112,4
21134,2012-01-05,15,45,103,4
21150,2012-01-05,15,61,2,4
21182,2012-01-05,15,93,5,4
21216,2012-01-05,16,16,32,4
21225,2012-01-05,16,25,196,4
21250,2012-01-05,16,50,1,4
21320,2012-01-05,17,9,277,4
21348,2012-01-05,17,37,69,4
21359,2012-01-05,17,48,182,4
21427,2012-01-05,18,5,47,4
21459,2012-01-05,18,37,18,4
21549,2012-01-05,19,16,48,4
21602,2012-01-05,19,69,2,4
21616,2012-01-05,19,83,9,4
21649,2012-01-05,20,5,205,4
21662,2012-01-05,20,18,1,4
21685,2012-01-05,20,41,38,4
21718,2012-01-05,20,74,5,4
21760,2012-01-05,21,5,92,4
21799,2012-01-05,21,44,84,4
21875,2012-01-05,22,9,107,4
21934,2012-01-05,22,68,48,4
21959,2012-01-05,22,93,2,4
21982,2012-01-05,23,5,57,4
22022,2012-01-05,23,45,35,4
22094,2012-01-05,24,6,129,4
22131,2012-01-05,24,43,94,4
22148,2012-01-05,24,60,2,4
22208,2012-01-05,25,9,125,4
22244,2012-01-05,25,45,80,4
22280,2012-01-05,25,81,12,4
22315,2012-01-05,26,5,56,4
22355,2012-01-05,26,45,37,4
22430,2012-01-05,27,9,35,4
22442,2012-01-05,27,21,3,4
22489,2012-01-05,27,68,40,4
22537,2012-01-05,28,5,54,4
22577,2012-01-05,28,45,68,4
22651,2012-01-05,29,8,63,4
22684,2012-01-05,29,41,23,4
22688,2012-01-05,29,45,93,4
22770,2012-01-05,30,16,52,4
22798,2012-01-05,30,44,259,4
22803,2012-01-05,30,49,1,4
22819,2012-01-05,30,65,1,4
22874,2012-01-05,31,9,110,4
22910,2012-01-05,31,45,97,4
22985,2012-01-05,32,9,96,4
22995,2012-01-05,32,19,1,4
23021,2012-01-05,32,45,32,4
23096,2012-01-05,33,9,343,4
23131,2012-01-05,33,44,357,4
23179,2012-01-05,33,92,5,4
23207,2012-01-05,34,9,95,4
23229,2012-01-05,34,31,5,4
23243,2012-01-05,34,45,165,4
23250,2012-01-05,34,52,4,4
23318,2012-01-05,36,9,41,4
23339,2012-01-05,36,30,1,4
23353,2012-01-05,36,44,131,4
23425,2012-01-05,37,5,43,4
23465,2012-01-05,37,45,62,4
23473,2012-01-05,37,53,1,4
23540,2012-01-05,38,9,132,4
23576,2012-01-05,38,45,142,4
23583,2012-01-05,38,52,1,4
23651,2012-01-05,39,9,12,4
23678,2012-01-05,39,36,20,4
23758,2012-01-05,40,5,80,4
23798,2012-01-05,40,45,54,4
23804,2012-01-05,40,51,3,4
23808,2012-01-05,40,55,1,4
23880,2012-01-05,41,16,56,4
23925,2012-01-05,41,61,1,4
23932,2012-01-05,41,68,96,4
23980,2012-01-05,42,5,112,4
24020,2012-01-05,42,45,106,4
24057,2012-01-05,42,82,2,4
24102,2012-01-05,43,16,73,4
24123,2012-01-05,43,37,26,4
24202,2012-01-05,44,5,48,4
24259,2012-01-05,44,62,3,4
24265,2012-01-05,44,68,63,4
24317,2012-01-05,45,9,45,4
24428,2012-01-06,1,9,12,5
24447,2012-01-06,1,28,2,5
24535,2012-01-06,2,5,145,5
24541,2012-01-06,2,11,2,5
24574,2012-01-06,2,44,109,5
24646,2012-01-06,3,5,81,5
24686,2012-01-06,3,45,76,5
24761,2012-01-06,4,9,124,5
24779,2012-01-06,4,27,4,5
24842,2012-01-06,4,90,1,5
24879,2012-01-06,5,16,22,5
24895,2012-01-06,5,32,1,5
24900,2012-01-06,5,37,22,5
24983,2012-01-06,6,9,40,5
25019,2012-01-06,6,45,58,5
25090,2012-01-06,7,5,105,5
25092,2012-01-06,7,7,4,5
25108,2012-01-06,7,23,11,5
25201,2012-01-06,8,5,14,5
25219,2012-01-06,8,23,4,5
25289,2012-01-06,8,93,6,5
25312,2012-01-06,9,5,94,5
25352,2012-01-06,9,45,69,5
25423,2012-01-06,10,5,48,5
25455,2012-01-06,10,37,40,5
25538,2012-01-06,11,9,17,5
25590,2012-01-06,11,61,7,5
25597,2012-01-06,11,68,53,5
25656,2012-01-06,12,16,34,5
25677,2012-01-06,12,37,25,5
25719,2012-01-06,12,79,1,5
25733,2012-01-06,12,93,1,5
25756,2012-01-06,13,5,164,5
25787,2012-01-06,13,36,102,5
25797,2012-01-06,13,46,3,5
25871,2012-01-06,14,9,5,5
25887,2012-01-06,14,25,21,5
25912,2012-01-06,14,50,1,5
25932,2012-01-06,14,70,3,5
25978,2012-01-06,15,5,100,5
26018,2012-01-06,15,45,112,5
26034,2012-01-06,15,61,3,5
26100,2012-01-06,16,16,27,5
26109,2012-01-06,16,25,168,5
26123,2012-01-06,16,39,1,5
26134,2012-01-06,16,50,1,5
26204,2012-01-06,17,9,239,5
26232,2012-01-06,17,37,63,5
26243,2012-01-06,17,48,119,5
26266,2012-01-06,17,71,1,5
26311,2012-01-06,18,5,11,5
26343,2012-01-06,18,37,4,5
26433,2012-01-06,19,16,26,5
26486,2012-01-06,19,69,1,5
26500,2012-01-06,19,83,9,5
26510,2012-01-06,19,93,5,5
26533,2012-01-06,20,5,157,5
26546,2012-01-06,20,18,1,5
26569,2012-01-06,20,41,26,5
26602,2012-01-06,20,74,2,5
26644,2012-01-06,21,5,77,5
26683,2012-01-06,21,44,65,5
26730,2012-01-06,21,91,1,5
26759,2012-01-06,22,9,136,5
26818,2012-01-06,22,68,60,5
26866,2012-01-06,23,5,63,5
26890,2012-01-06,23,29,1,5
26906,2012-01-06,23,45,44,5
26978,2012-01-06,24,6,80,5
27015,2012-01-06,24,43,103,5
27092,2012-01-06,25,9,79,5
27128,2012-01-06,25,45,89,5
27164,2012-01-06,25,81,10,5
27199,2012-01-06,26,5,70,5
27239,2012-01-06,26,45,42,5
27314,2012-01-06,27,9,84,5
27373,2012-01-06,27,68,51,5
27385,2012-01-06,27,80,1,5
27421,2012-01-06,28,5,30,5
27461,2012-01-06,28,45,53,5
27535,2012-01-06,29,8,37,5
27568,2012-01-06,29,41,9,5
27572,2012-01-06,29,45,87,5
27583,2012-01-06,29,56,1,5
27654,2012-01-06,30,16,56,5
27682,2012-01-06,30,44,239,5
27758,2012-01-06,31,9,57,5
27794,2012-01-06,31,45,74,5
27842,2012-01-06,31,93,12,5
27869,2012-01-06,32,9,55,5
27905,2012-01-06,32,45,48,5
27980,2012-01-06,33,9,115,5
28015,2012-01-06,33,44,214,5
28063,2012-01-06,33,92,1,5
28091,2012-01-06,34,9,55,5
28127,2012-01-06,34,45,122,5
28175,2012-01-06,34,93,3,5
28202,2012-01-06,36,9,41,5
28237,2012-01-06,36,44,151,5
28309,2012-01-06,37,5,38,5
28349,2012-01-06,37,45,72,5
28357,2012-01-06,37,53,2,5
28424,2012-01-06,38,9,84,5
28460,2012-01-06,38,45,108,5
28535,2012-01-06,39,9,6,5
28562,2012-01-06,39,36,15,5
28642,2012-01-06,40,5,88,5
28682,2012-01-06,40,45,68,5
28764,2012-01-06,41,16,55,5
28809,2012-01-06,41,61,7,5
28816,2012-01-06,41,68,105,5
28864,2012-01-06,42,5,63,5
28904,2012-01-06,42,45,72,5
28941,2012-01-06,42,82,1,5
28986,2012-01-06,43,16,79,5
29007,2012-01-06,43,37,32,5
29043,2012-01-06,43,73,1,5
29086,2012-01-06,44,5,95,5
29149,2012-01-06,44,68,40,5
29201,2012-01-06,45,9,32,5
29312,2012-01-07,1,9,2,6
29331,2012-01-07,1,28,1,6
29419,2012-01-07,2,5,71,6
29458,2012-01-07,2,44,169,6
29530,2012-01-07,3,5,136,6
29570,2012-01-07,3,45,124,6
29645,2012-01-07,4,9,190,6
29663,2012-01-07,4,27,6,6
29763,2012-01-07,5,16,40,6
29767,2012-01-07,5,20,1,6
29784,2012-01-07,5,37,30,6
29867,2012-01-07,6,9,110,6
29903,2012-01-07,6,45,57,6
29974,2012-01-07,7,5,190,6
29976,2012-01-07,7,7,4,6
29992,2012-01-07,7,23,26,6
30085,2012-01-07,8,5,72,6
30103,2012-01-07,8,23,14,6
30196,2012-01-07,9,5,120,6
30201,2012-01-07,9,10,4,6
30236,2012-01-07,9,45,75,6
30307,2012-01-07,10,5,120,6
30323,2012-01-07,10,21,1,6
30339,2012-01-07,10,37,46,6
30422,2012-01-07,11,9,67,6
30474,2012-01-07,11,61,4,6
30481,2012-01-07,11,68,84,6
30540,2012-01-07,12,16,54,6
30561,2012-01-07,12,37,51,6
30617,2012-01-07,12,93,7,6
30640,2012-01-07,13,5,170,6
30671,2012-01-07,13,36,95,6
30681,2012-01-07,13,46,9,6
30728,2012-01-07,13,93,1,6
30755,2012-01-07,14,9,43,6
30771,2012-01-07,14,25,9,6
30816,2012-01-07,14,70,1,6
30862,2012-01-07,15,5,220,6
30874,2012-01-07,15,17,4,6
30902,2012-01-07,15,45,171,6
30906,2012-01-07,15,49,2,6
30918,2012-01-07,15,61,2,6
30984,2012-01-07,16,16,42,6
30993,2012-01-07,16,25,250,6
31018,2012-01-07,16,50,2,6
31088,2012-01-07,17,9,154,6
31116,2012-01-07,17,37,82,6
31127,2012-01-07,17,48,249,6
31150,2012-01-07,17,71,1,6
31195,2012-01-07,18,5,23,6
31227,2012-01-07,18,37,12,6
31317,2012-01-07,19,16,31,6
31370,2012-01-07,19,69,1,6
31384,2012-01-07,19,83,18,6
31417,2012-01-07,20,5,46,6
31430,2012-01-07,20,18,4,6
31453,2012-01-07,20,41,30,6
31486,2012-01-07,20,74,4,6
31528,2012-01-07,21,5,32,6
31567,2012-01-07,21,44,82,6
31614,2012-01-07,21,91,1,6
31643,2012-01-07,22,9,89,6
